UBTU-22-411040,UBTU-20-010000
UBTU-22-271010,UBTU-20-010002
UBTU-22-271015,UBTU-20-010003
UBTU-22-271020,UBTU-20-010004
UBTU-22-412025,UBTU-20-010005
UBTU-22-4120251,UBTU-20-010005
UBTU-22-612040,UBTU-20-010006
UBTU-22-411025,UBTU-20-010007
UBTU-22-411030,UBTU-20-010008
UBTU-22-212010,UBTU-20-010009
UBTU-22-411015,UBTU-20-010010
UBTU-22-4110151,UBTU-20-010010
UBTU-22-432015,UBTU-20-010012
UBTU-22-412030,UBTU-20-010013
UBTU-22-432010,UBTU-20-010014
UBTU-22-4320101,UBTU-20-010014
UBTU-22-412035,UBTU-20-010016
UBTU-22-612020,UBTU-20-010033
UBTU-22-6120101,UBTU-20-010033
UBTU-22-6120201,UBTU-20-010033
UBTU-22-61201011,UBTU-20-010033
UBTU-22-61202011,UBTU-20-010033
UBTU-22-612010111,UBTU-20-010033
UBTU-22-612020111,UBTU-20-010033
UBTU-22-6120101111,UBTU-20-010033
UBTU-22-612010,UBTU-20-010033
UBTU-22-255065,UBTU-20-010035
UBTU-22-255030,UBTU-20-010036
UBTU-22-255035,UBTU-20-010037
UBTU-22-255020,UBTU-20-010038
UBTU-22-2550201,UBTU-20-010038
UBTU-22-255015,UBTU-20-010042
UBTU-22-255010,UBTU-20-010042
UBTU-22-2550151,UBTU-20-010042
UBTU-22-2550101,UBTU-20-010042
UBTU-22-25501511,UBTU-20-010042
UBTU-22-25501011,UBTU-20-010042
UBTU-22-255055,UBTU-20-010043
UBTU-22-25505511,UBTU-20-010043
UBTU-22-2550551,UBTU-20-010043
UBTU-22-255050,UBTU-20-010044
UBTU-22-25505011,UBTU-20-010044
UBTU-22-2550501,UBTU-20-010044
UBTU-22-255060,UBTU-20-010045
UBTU-22-255025,UBTU-20-010047
UBTU-22-255040,UBTU-20-010048
UBTU-22-255045,UBTU-20-010049
UBTU-22-611010,UBTU-20-010050
UBTU-22-611015,UBTU-20-010051
UBTU-22-611020,UBTU-20-010052
UBTU-22-611040,UBTU-20-010053
UBTU-22-611035,UBTU-20-010054
UBTU-22-611025,UBTU-20-010055
UBTU-22-611030,UBTU-20-010056
UBTU-22-611045,UBTU-20-010057
UBTU-22-215010,UBTU-20-010057
UBTU-22-612030,UBTU-20-010060
UBTU-22-612015,UBTU-20-010064
UBTU-22-612025,UBTU-20-010065
UBTU-22-612035,UBTU-20-010066
UBTU-22-611050,UBTU-20-010070
UBTU-22-411045,UBTU-20-010072
UBTU-22-4110451,UBTU-20-010072
UBTU-22-651025,UBTU-20-010074
UBTU-22-412010,UBTU-20-010075
UBTU-22-654145,UBTU-20-010100
UBTU-22-65414511111,UBTU-20-010100
UBTU-22-654145111111,UBTU-20-010100
UBTU-22-6541451111111,UBTU-20-010100
UBTU-22-6541451,UBTU-20-010100
UBTU-22-65414511,UBTU-20-010100
UBTU-22-654145111,UBTU-20-010100
UBTU-22-6541451111,UBTU-20-010100
UBTU-22-654130,UBTU-20-010101
UBTU-22-65413011111,UBTU-20-010101
UBTU-22-654130111111,UBTU-20-010101
UBTU-22-6541301111111,UBTU-20-010101
UBTU-22-6541301,UBTU-20-010101
UBTU-22-65413011,UBTU-20-010101
UBTU-22-654130111,UBTU-20-010101
UBTU-22-6541301111,UBTU-20-010101
UBTU-22-654150,UBTU-20-010102
UBTU-22-65415011111,UBTU-20-010102
UBTU-22-654150111111,UBTU-20-010102
UBTU-22-6541501111111,UBTU-20-010102
UBTU-22-6541501,UBTU-20-010102
UBTU-22-65415011,UBTU-20-010102
UBTU-22-654150111,UBTU-20-010102
UBTU-22-6541501111,UBTU-20-010102
UBTU-22-654135,UBTU-20-010103
UBTU-22-65413511111,UBTU-20-010103
UBTU-22-654135111111,UBTU-20-010103
UBTU-22-6541351111111,UBTU-20-010103
UBTU-22-6541351,UBTU-20-010103
UBTU-22-65413511,UBTU-20-010103
UBTU-22-654135111,UBTU-20-010103
UBTU-22-6541351111,UBTU-20-010103
UBTU-22-654140,UBTU-20-010104
UBTU-22-65414011111,UBTU-20-010104
UBTU-22-654140111111,UBTU-20-010104
UBTU-22-6541401111111,UBTU-20-010104
UBTU-22-6541401,UBTU-20-010104
UBTU-22-65414011,UBTU-20-010104
UBTU-22-654140111,UBTU-20-010104
UBTU-22-6541401111,UBTU-20-010104
UBTU-22-653025,UBTU-20-010117
UBTU-22-653030,UBTU-20-010118
UBTU-22-653045,UBTU-20-010122
UBTU-22-6530451,UBTU-20-010122
UBTU-22-653050,UBTU-20-010123
UBTU-22-6530501,UBTU-20-010123
UBTU-22-65305011,UBTU-20-010123
UBTU-22-653055,UBTU-20-010124
UBTU-22-6530551,UBTU-20-010124
UBTU-22-65305511,UBTU-20-010124
UBTU-22-653060,UBTU-20-010128
UBTU-22-653065,UBTU-20-010133
UBTU-22-653070,UBTU-20-010134
UBTU-22-653075,UBTU-20-010135
UBTU-22-654100,UBTU-20-010136
UBTU-22-654030,UBTU-20-010137
UBTU-22-654065,UBTU-20-010138
UBTU-22-654115,UBTU-20-010139
UBTU-22-654090,UBTU-20-010140
UBTU-22-654095,UBTU-20-010141
UBTU-22-654180,UBTU-20-010142
UBTU-22-6541801,UBTU-20-010142
UBTU-22-654160,UBTU-20-010148
UBTU-22-6541601,UBTU-20-010148
UBTU-22-654155,UBTU-20-010152
UBTU-22-6541551,UBTU-20-010152
UBTU-22-654165,UBTU-20-010155
UBTU-22-65416511,UBTU-20-010155
UBTU-22-654105,UBTU-20-010161
UBTU-22-654110,UBTU-20-010162
UBTU-22-654035,UBTU-20-010163
UBTU-22-654070,UBTU-20-010164
UBTU-22-654025,UBTU-20-010165
UBTU-22-654010,UBTU-20-010166
UBTU-22-654085,UBTU-20-010167
UBTU-22-654015,UBTU-20-010168
UBTU-22-6542101,UBTU-20-010170
UBTU-22-654210,UBTU-20-010170
UBTU-22-65421011,UBTU-20-010170
UBTU-22-65421511,UBTU-20-010171
UBTU-22-654215,UBTU-20-010171
UBTU-22-6542151,UBTU-20-010171
UBTU-22-654080,UBTU-20-010172
UBTU-22-654120,UBTU-20-010173
UBTU-22-654050,UBTU-20-010174
UBTU-22-654020,UBTU-20-010175
UBTU-22-654125,UBTU-20-010176
UBTU-22-654040,UBTU-20-010177
UBTU-22-654075,UBTU-20-010178
UBTU-22-6541751,UBTU-20-010179
UBTU-22-654175,UBTU-20-010179
UBTU-22-654170,UBTU-20-010181
UBTU-22-6541701,UBTU-20-010181
UBTU-22-653015,UBTU-20-010182
UBTU-22-653010,UBTU-20-010182
UBTU-22-6530151,UBTU-20-010182
UBTU-22-6530101,UBTU-20-010182
UBTU-22-65301511,UBTU-20-010182
UBTU-22-65301011,UBTU-20-010182
UBTU-22-653015111,UBTU-20-010182
UBTU-22-653010111,UBTU-20-010182
UBTU-22-6530151111,UBTU-20-010182
UBTU-22-6530101111,UBTU-20-010182
UBTU-22-65301511111,UBTU-20-010182
UBTU-22-65301011111,UBTU-20-010182
UBTU-22-653015111111,UBTU-20-010182
UBTU-22-653010111111,UBTU-20-010182
UBTU-22-6530151111111,UBTU-20-010182
UBTU-22-6530101111111,UBTU-20-010182
UBTU-22-65301511111111,UBTU-20-010182
UBTU-22-65301011111111,UBTU-20-010182
UBTU-22-653015111111111,UBTU-20-010182
UBTU-22-653010111111111,UBTU-20-010182
UBTU-22-65301511111111111111111111,UBTU-20-010182
UBTU-22-65301011111111111111111111,UBTU-20-010182
UBTU-22-6530151111111111111111111,UBTU-20-010182
UBTU-22-6530101111111111111111111,UBTU-20-010182
UBTU-22-653015111111111111,UBTU-20-010182
UBTU-22-653010111111111111,UBTU-20-010182
UBTU-22-6530151111111111,UBTU-20-010182
UBTU-22-6530101111111111,UBTU-20-010182
UBTU-22-6530151111111111111,UBTU-20-010182
UBTU-22-6530101111111111111,UBTU-20-010182
UBTU-22-65301511111111111111,UBTU-20-010182
UBTU-22-65301011111111111111,UBTU-20-010182
UBTU-22-653015111111111111111,UBTU-20-010182
UBTU-22-653010111111111111111,UBTU-20-010182
UBTU-22-6530151111111111111111,UBTU-20-010182
UBTU-22-6530101111111111111111,UBTU-20-010182
UBTU-22-65301511111111111111111,UBTU-20-010182
UBTU-22-65301011111111111111111,UBTU-20-010182
UBTU-22-653015111111111111111111,UBTU-20-010182
UBTU-22-653010111111111111111111,UBTU-20-010182
UBTU-22-65301511111111111,UBTU-20-010182
UBTU-22-65301011111111111,UBTU-20-010182
UBTU-22-212015,UBTU-20-010198
UBTU-22-232035,UBTU-20-010199
UBTU-22-2320351,UBTU-20-010199
UBTU-22-232110,UBTU-20-010200
UBTU-22-23211511,UBTU-20-010200
UBTU-22-2321101,UBTU-20-010200
UBTU-22-232115111,UBTU-20-010200
UBTU-22-651030,UBTU-20-010205
UBTU-22-654230,UBTU-20-010211
UBTU-22-6542301,UBTU-20-010211
UBTU-22-653035,UBTU-20-010215
UBTU-22-653020,UBTU-20-010216
UBTU-22-6530201,UBTU-20-010216
UBTU-22-653040,UBTU-20-010217
UBTU-22-252020,UBTU-20-010230
UBTU-22-6542351,UBTU-20-010244
UBTU-22-654235,UBTU-20-010244
UBTU-22-654185,UBTU-20-010267
UBTU-22-654200,UBTU-20-010277
UBTU-22-654205,UBTU-20-010278
UBTU-22-654195,UBTU-20-010279
UBTU-22-654060,UBTU-20-010296
UBTU-22-654055,UBTU-20-010297
UBTU-22-654045,UBTU-20-010298
UBTU-22-651035,UBTU-20-010300
UBTU-22-412020,UBTU-20-010400
UBTU-22-213010,UBTU-20-010401
UBTU-22-652015,UBTU-20-010403
UBTU-22-611070,UBTU-20-010404
UBTU-22-215035,UBTU-20-010405
UBTU-22-215030,UBTU-20-010406
UBTU-22-251030,UBTU-20-010407
UBTU-22-411010,UBTU-20-010408
UBTU-22-411035,UBTU-20-010409
UBTU-22-232145,UBTU-20-010411
UBTU-22-253010,UBTU-20-010412
UBTU-22-213015,UBTU-20-010413
UBTU-22-231010,UBTU-20-010414
UBTU-22-211010,UBTU-20-010415
UBTU-22-232026,UBTU-20-010416
UBTU-22-232125,UBTU-20-010417
UBTU-22-232120,UBTU-20-010418
UBTU-22-232025,UBTU-20-010419
UBTU-22-232135,UBTU-20-010420
UBTU-22-232130,UBTU-20-010421
UBTU-22-232030,UBTU-20-010422
UBTU-22-232010,UBTU-20-010423
UBTU-22-232040,UBTU-20-010424
UBTU-22-232045,UBTU-20-010425
UBTU-22-232020,UBTU-20-010426
UBTU-22-232070,UBTU-20-010428
UBTU-22-232060,UBTU-20-010429
UBTU-22-232075,UBTU-20-010430
UBTU-22-232065,UBTU-20-010431
UBTU-22-652010,UBTU-20-010432
UBTU-22-251010,UBTU-20-010433
UBTU-22-252010,UBTU-20-010435
UBTU-22-252015,UBTU-20-010436
UBTU-22-651020,UBTU-20-010437
UBTU-22-6510201,UBTU-20-010437
UBTU-22-214010,UBTU-20-010438
UBTU-22-431015,UBTU-20-010439
UBTU-22-4310101,UBTU-20-010439
UBTU-22-4310151,UBTU-20-010439
UBTU-22-43101011,UBTU-20-010439
UBTU-22-431010,UBTU-20-010439
UBTU-22-43101511,UBTU-20-010439
UBTU-22-411020,UBTU-20-010440
UBTU-22-631015,UBTU-20-010441
UBTU-22-671010,UBTU-20-010442
UBTU-22-6710101,UBTU-20-010442
UBTU-22-631010,UBTU-20-010443
UBTU-22-2310101,UBTU-20-010445
UBTU-22-23101011,UBTU-20-010445
UBTU-22-251015,UBTU-20-010446
UBTU-22-251025,UBTU-20-010446
UBTU-22-213025,UBTU-20-010447
UBTU-22-213020,UBTU-20-010448
UBTU-22-214015,UBTU-20-010449
UBTU-22-651015,UBTU-20-010450
UBTU-22-651010,UBTU-20-010450
UBTU-22-412015,UBTU-20-010453
UBTU-22-251020,UBTU-20-010454
UBTU-22-291015,UBTU-20-010455
UBTU-22-232015,UBTU-20-010456
UBTU-22-232050,UBTU-20-010457
UBTU-22-232055,UBTU-20-010458
UBTU-22-271030,UBTU-20-010459
UBTU-22-211015,UBTU-20-010460
UBTU-22-291010,UBTU-20-010461
UBTU-22-611065,UBTU-20-010462
UBTU-22-611060,UBTU-20-010463
UBTU-22-271025,
UBTU-22-654225,
UBTU-22-654220,
UBTU-22-611055,
UBTU-22-654190,
UBTU-22-215025,
UBTU-22-215020,
UBTU-22-215015,
UBTU-22-232140,
UBTU-22-232027,
UBTU-22-232105,
UBTU-22-232100,
UBTU-22-232085,
UBTU-22-232080,
UBTU-22-232095,
UBTU-22-232090,
